person_id,year,perf_a,perf_b
27915,2016,0.516779716,
27915,2017,0.160167015,
27933,2013,,
27933,2014,-0.52889348,
27933,2015,-0.166409019,
27933,2016,0.604963004,
27933,2017,0.501133185,
27963,2013,,
27963,2014,-0.921477367,
27963,2015,,
27963,2016,,
27963,2017,,
27982,2013,-0.268590638,
27982,2014,-1.071571079,
27982,2015,-1.178827442,
27982,2016,-0.379323149,
27982,2017,-0.601072421,
28012,2013,-0.440912349,
28012,2014,,
28012,2015,,
28012,2016,,
28012,2017,,
28058,2013,,
28058,2014,,
28058,2015,-0.042359319,
28058,2016,,
28058,2017,,
28081,2013,0.77536388,
28081,2014,1.134893666,
28081,2015,-1.582860872,
28081,2016,-1.599652312,
28081,2017,-0.439420037,
28113,2013,-0.976878593,
28113,2014,-0.365582793,-0.962905143
28113,2015,0.379632564,
28113,2016,,
28113,2017,,
28223,2013,0.539171465,
28223,2014,,
28223,2015,,
28223,2016,,
28223,2017,,
28247,2013,,
28247,2014,,
28247,2015,,
28247,2016,,
28247,2017,0.272947708,
28257,2013,2.155178861,
28257,2014,0.712769307,
28257,2015,-0.170346304,
28257,2016,,
28257,2017,,
28301,2013,0.276498102,
28301,2014,0.255474695,
28301,2015,0.022492372,
28301,2016,,
28301,2017,,
28325,2013,0.192977739,
28325,2014,0.587145185,
28325,2015,0.196412907,
28325,2016,-0.390482327,
28325,2017,,
28365,2013,,
28365,2014,,
28365,2015,,
28365,2016,,
28365,2017,-0.7205562,
28451,2013,0.715993332,
28451,2014,1.408266953,
28451,2015,-0.270179318,
28451,2016,0.199093108,
28451,2017,,
28470,2013,-0.030644834,
28470,2014,-0.169625227,
28470,2015,-0.518271212,
28470,2016,1.078045051,
28470,2017,,
28507,2013,0.069059963,0.557092891
28507,2014,0.203515505,0.154923637
28507,2015,0.844142697,0.018702094
28507,2016,1.154352049,-0.322790598
28507,2017,-0.217634509,
28518,2013,0.27339549,
28518,2014,0.02481911,
28518,2015,0.298075671,
28518,2016,-1.070901952,
28518,2017,-0.990961668,
